Date;Open;High;Low;Close
28.09.2018;117910;117910;117860;117880
28.09.2018;117890;117910;117880;117910
28.09.2018;117910;117920;117890;117890
28.09.2018;117890;117890;117870;117890
28.09.2018;117880;117900;117850;117870
28.09.2018;117890;117890;117860;117860
28.09.2018;117890;117900;117850;117850
28.09.2018;117840;117860;117840;117850
28.09.2018;117850;117870;117850;117870
28.09.2018;117870;117890;117870;117880
28.09.2018;117900;117930;117890;117910
28.09.2018;117900;117900;117870;117880
28.09.2018;117900;117910;117890;117900
28.09.2018;117900;117920;117860;117890
28.09.2018;117900;117910;117900;117900
28.09.2018;117900;117920;117890;117920
28.09.2018;117930;117960;117920;117960
28.09.2018;117950;117950;117900;117920
28.09.2018;117930;117940;117920;117920
28.09.2018;117930;117970;117920;117970
28.09.2018;117970;117980;117910;117910
28.09.2018;117910;117910;117880;117900
28.09.2018;117910;117910;117880;117880
28.09.2018;117880;117900;117850;117850
28.09.2018;117850;117860;117800;117820
28.09.2018;117810;117850;117800;117850
28.09.2018;117850;117860;117830;117830
28.09.2018;117830;117880;117820;117850
28.09.2018;117870;117890;117850;117880
28.09.2018;117870;117880;117810;117830
28.09.2018;117820;117880;117820;117880
28.09.2018;117880;117880;117850;117850
28.09.2018;117850;117910;117850;117910
28.09.2018;117900;117900;117880;117880
28.09.2018;117880;117920;117880;117920
28.09.2018;117910;117940;117890;117910
28.09.2018;117920;117940;117880;117900
28.09.2018;117880;117880;117850;117850
28.09.2018;117850;117880;117840;117870
28.09.2018;117850;117870;117840;117840
28.09.2018;117850;117850;117820;117850
28.09.2018;117840;117860;117820;117860
28.09.2018;117840;117860;117840;117850
28.09.2018;117850;117880;117850;117880
28.09.2018;117870;117880;117840;117840
28.09.2018;117850;117870;117840;117850
28.09.2018;117850;117870;117840;117870
28.09.2018;117840;117850;117840;117840
28.09.2018;117850;117850;117830;117830
28.09.2018;117830;117850;117820;117840
28.09.2018;117840;117850;117830;117850
28.09.2018;117850;117860;117830;117850
28.09.2018;117850;117870;117840;117870
28.09.2018;117880;117880;117850;117870
28.09.2018;117860;117860;117850;117850
28.09.2018;117850;117870;117850;117850
28.09.2018;117840;117860;117840;117860
28.09.2018;117870;117870;117860;117870
28.09.2018;117860;117870;117860;117870
28.09.2018;117870;117890;117850;117860
28.09.2018;117870;117910;117870;117900
28.09.2018;117890;117910;117830;117850
28.09.2018;117840;117860;117830;117850
28.09.2018;117860;117870;117850;117850
28.09.2018;117840;117860;117820;117820
28.09.2018;117830;117830;117800;117800
28.09.2018;117810;117840;117800;117830
28.09.2018;117840;117860;117830;117830
28.09.2018;117850;117870;117840;117850
28.09.2018;117860;117860;117850;117850
28.09.2018;117860;117860;117820;117840
28.09.2018;117860;117860;117830;117850
28.09.2018;117850;117850;117840;117840
28.09.2018;117830;117850;117830;117850
28.09.2018;117830;117850;117830;117850
28.09.2018;117850;117870;117840;117840
28.09.2018;117840;117840;117830;117830
28.09.2018;117830;117830;117810;117820
28.09.2018;117810;117810;117810;117810
28.09.2018;117800;117830;117780;117790
28.09.2018;117790;117810;117780;117790
28.09.2018;117790;117830;117790;117810
28.09.2018;117810;117820;117800;117800
28.09.2018;117800;117810;117790;117790
28.09.2018;117780;117780;117710;117770
28.09.2018;117770;117770;117760;117770
28.09.2018;117770;117790;117760;117790
28.09.2018;117790;117790;117790;117790
28.09.2018;117780;117800;117750;117770
28.09.2018;117760;117770;117750;117750
28.09.2018;117750;117770;117750;117760
28.09.2018;117760;117760;117730;117730
28.09.2018;117730;117730;117720;117730
28.09.2018;117740;117750;117730;117750
28.09.2018;117740;117750;117730;117750
28.09.2018;117740;117760;117730;117740
28.09.2018;117760;117760;117690;117720
28.09.2018;117720;117730;117720;117720
28.09.2018;117720;117730;117670;117700
28.09.2018;117690;117730;117670;117710
